,agency,firename,lat,lon,startdate,hectares,stage_of_control,timezone,timestamp
41,ab,LWF-023-2023,55.9246,-110.691, 2023-04-18 18:45:00,0.01, UC,,2023-05-31 06:37:07
42,bc,2023-G60452,55.724,-123.609, 2023-05-21 01:52:00,4.5, UC, PDT,2023-05-31 06:37:07
43,sk,23SR-KAY,59.6572,-109.611, 2023-05-19 18:13:18,3537.0, OC, CST,2023-05-31 06:37:07
44,ak,YTA Moose Ck Rx,64.6993,-146.981, 2023-04-21 00:00:00,108.46, Pre,,2023-05-31 06:37:07
45,bc,2023-K40416,50.3042,-118.461, 2023-05-20 17:45:00,0.01, UC, PDT,2023-05-31 06:37:07
46,ab,LWF-106-2023,55.9276,-112.433, 2023-05-10 21:09:00,2.1, UC, MDT,2023-05-31 06:37:07
47,bc,2023-G80291,56.5112,-121.222, 2023-05-13 23:03:00,29222.0, BH, PDT,2023-05-31 06:37:07
48,sk,23HB-CLEM,52.7274,-102.481, 2023-05-19 16:13:45,298.0, OC, CST,2023-05-31 06:37:07
49,ab,RWF-040-2023,52.8087,-116.204, 2023-05-05 20:45:00,5089.0, OC, MDT,2023-05-31 06:37:07
50,bc,2023-R10501,53.9455,-126.076, 2023-05-25 22:52:00,13.5, UC, PDT,2023-05-31 06:37:07
51,on,RED_FIRE_005,53.4689,-93.2176, 2023-05-25 16:20:00,2288.1, OC, GMT,2023-05-31 06:37:07
52,ab,PWF-038-2023,56.3832,-116.808, 2023-05-06 05:24:00,6129.85, BH, MDT,2023-05-31 06:37:07
53,bc,2023-G90358,59.1388,-120.334, 2023-05-18 00:50:00,8000.0, OC, PDT,2023-05-31 06:37:07
54,ak,Barley Way,63.9789,-145.35, 2023-05-20 00:00:00,125.45, Unstaffed/Contained,,2023-05-31 06:37:07
55,ab,EWF-031-2023,53.1452,-115.687, 2023-05-04 19:21:00,125033.0, OC, MDT,2023-05-31 06:37:07
56,bc,2023-G90288,59.9636,-120.987, 2023-05-13 20:30:00,70000.0, OC, PDT,2023-05-31 06:37:07
57,on,WAW_FIRE_002,48.615,-85.371, 2023-05-26 20:51:00,105.0, OC, GMT,2023-05-31 06:37:07
58,ab,LSZ-001-2023,55.272,-110.026, 2023-05-24 13:00:00,4900.0, OC, MDT,2023-05-31 06:37:07
59,pc,2023WB4,58.3837,-112.247, 2023-05-28 21:44:23,0.2, OC,,2023-05-31 06:37:07
60,bc,2023-V90513,50.5577,-127.04, 2023-05-28 02:45:00,0.01, UC, PDT,2023-05-31 06:37:07
61,on,COC_FIRE_001,51.5566,-85.3216, 2023-05-28 20:52:00,45.0, OC, GMT,2023-05-31 06:37:07
62,bc,2023-C30399,52.6166,-121.071, 2023-05-19 21:10:00,73.0, OC, PDT,2023-05-31 06:37:07
63,bc,2023-V50522,49.4576,-123.569, 2023-05-29 01:24:00,0.01, OC, PDT,2023-05-31 06:37:07
64,bc,2023-C30440,52.6309,-121.04, 2023-05-21 00:44:00,16.0, OC, PDT,2023-05-31 06:37:07
65,bc,2023-C30446,52.8373,-120.466, 2023-05-21 01:42:00,120.0, OC, PDT,2023-05-31 06:37:07
