,agency,firename,lat,lon,startdate,hectares,stage_of_control,timezone,timestamp
256,qc,394,46.2353,-76.4494, 2023-06-03 21:10:00,5.5, OC, EDT,2023-06-04 20:38:39
257,bc,2023-V50584,49.8095,-124.313, 2023-06-03 22:10:00,0.01, UC, PDT,2023-06-04 20:38:39
258,ab,EWF-035-2023,53.8368,-115.783, 2023-05-05 20:03:00,19567.0, OC, MDT,2023-06-04 20:38:39
259,ab,WCU-001-2023,53.5614,-114.903, 2023-04-29 22:40:00,6284.0, OC, MDT,2023-06-04 20:38:39
260,on,CHA_FIRE_003,47.7236,-82.4194, 2023-06-01 19:30:00,300.0, OC, GMT,2023-06-04 20:38:39
261,qc,230,46.8311,-72.7303, 2023-06-01 18:00:00,17.3, BH, EDT,2023-06-04 20:38:39
262,qc,247,47.5289,-76.5356, 2023-06-01 18:10:00,0.0, BH, EDT,2023-06-04 20:38:39
263,qc,320,47.5289,-76.5756, 2023-06-01 18:05:00,0.0, BH, EDT,2023-06-04 20:38:39
264,ns,03-010-2023,43.6286,-65.5833, 2023-05-27 20:00:00,24980.0, OC, ADT,2023-06-04 20:38:39
265,qc,378,50.5236,-66.0692, 2023-06-01 20:00:00,0.0, OC, EDT,2023-06-04 20:38:39
266,on,CHA_FIRE_004,47.607,-82.3151, 2023-06-02 19:10:00,0.4, UC, GMT,2023-06-04 20:38:39
267,qc,288,47.615,-76.5919, 2023-06-01 17:50:00,0.0, BH, EDT,2023-06-04 20:38:39
268,on,SUD_FIRE_014,46.5548,-81.8095, 2023-06-03 19:08:00,0.5, OC, GMT,2023-06-04 20:38:39
269,ab,SWF-089-2023,56.6087,-114.223, 2023-06-03 00:40:00,0.5, UC, MDT,2023-06-04 20:38:39
270,bc,2023-G80590,57.565,-120.745, 2023-06-04 00:01:00,75.0, OC, PDT,2023-06-04 20:38:39
271,on,HEA_FIRE_004,49.4621,-83.8574, 2023-06-03 23:19:00,12.0, OC, GMT,2023-06-04 20:38:39
272,qc,257,49.5128,-68.6239, 2023-06-01 21:48:00,68.6, OC, EDT,2023-06-04 20:38:39
273,qc,386,49.5631,-67.5708, 2023-06-03 17:00:00,0.0, OC, EDT,2023-06-04 20:38:39
274,qc,388,48.0144,-75.8631, 2023-06-02 23:11:00,80.0, OC, EDT,2023-06-04 20:38:39
275,bc,2023-G90292,58.0517,-123.325, 2023-05-13 23:28:00,8856.0, OC, PDT,2023-06-04 20:38:39
276,qc,314,49.5558,-76.7642, 2023-06-02 02:35:00,5000.0, OC, EDT,2023-06-04 20:38:39
277,qc,336,47.4608,-77.2489, 2023-06-01 23:00:00,0.1, BH, EDT,2023-06-04 20:38:39
